영업상태코드,영업상태명,상세영업상태명,전화번호,소재지우편번호,지번주소,도로명주소,도로명주소_검색용,도로명우편번호,사업장명,데이터갱신구분,데이터갱신일자,업태구분명
1,영업/정상,영업,23222827,121893,서울특별시 마포구 서교동 366-14,서울특별시 마포구 잔다리로6길 34-5 (서교동 1층 일부),서울 마포구 잔다리로6길,4042,문숙이미나리식당,U,2020.11.2 0:01,한식
1,영업/정상,영업,,121867,서울특별시 마포구 연남동 383-103번지 ,서울특별시 마포구 연희로1길 59 지하1층 (연남동),서울 마포구 연희로1길,3982,문숙이미나리식당,U,2018.12.20 2:40,한식
1,영업/정상,영업,27119876,121812,서울특별시 마포구 도화동 26-1번지 ,서울특별시 마포구 새창로 24 (도화동 B1층),서울 마포구 새창로,4169,문스타파,I,2018.8.31 23:59,중국식
1,영업/정상,영업,23058892,121835,서울특별시 마포구 상암동 1293번지 ,서울특별시 마포구 성암로13길 27 (상암동 1층),서울 마포구 성암로13길,3930,문어본가,I,2018.8.31 23:59,한식
1,영업/정상,영업,,121830,서울특별시 마포구 상암동 27-61번지 1층 ,서울특별시 마포구 월드컵북로 308 1층 (상암동),서울 마포구 월드컵북로,3930,문어통,I,2018.8.31 23:59,한식
1,영업/정상,영업,,121868,서울특별시 마포구 연남동 487-424번지 ,서울특별시 마포구 연남로13길 9 1층 102호 (연남동),서울 마포구 연남로13길,3974,문일리,I,2019.11.10 0:23,기타
1,영업/정상,영업,,121839,서울특별시 마포구 서교동 393-12번지 ,서울특별시 마포구 양화로 57 지상1층 (서교동),서울 마포구 양화로,4037,문짱김밥,I,2018.8.31 23:59,분식
1,영업/정상,영업,,121847,서울특별시 마포구 성산동 256-5번지 ,서울특별시 마포구 성미산로5길 57 지하 B101호 (성산동),서울 마포구 성미산로5길,3969,문턱없는밥집,U,2020.3.14 2:40,한식
1,영업/정상,영업,,121840,서울특별시 마포구 서교동 396-28번지 1층일부 ,서울특별시 마포구 독막로3길 24-6 (서교동 1층일부),서울 마포구 독막로3길,4047,물고기초밥,I,2018.8.31 23:59,일식
1,영업/정상,영업,,121865,서울특별시 마포구 연남동 223-14,서울특별시 마포구 성미산로 161-10 지층 (연남동),서울 마포구 성미산로,3980,물레방아,U,2020.12.4 22:02,경양식
1,영업/정상,영업,,121840,서울특별시 마포구 서교동 398-5번지 지층일부 ,서울특별시 마포구 어울마당로5길 42 (서교동 지층일부),서울 마포구 어울마당로5길,4047,뮤다,I,2018.8.31 23:59,일식
1,영업/정상,영업,,121893,서울특별시 마포구 서교동 394-19번지 반(Bahn) ,서울특별시 마포구 양화로6길 27 반(Bahn) 3층 (서교동),서울 마포구 양화로6길,4044,뮤직맨,I,2020.2.5 0:23,기타
1,영업/정상,영업,,121807,서울특별시 마포구 노고산동 107-17 우정마샹스 오피스텔,서울특별시 마포구 백범로 8 1층 103호일부 (노고산동),서울 마포구 백범로,4100,뮤집,U,2020.12.8 0:04,기타
1,영업/정상,영업,27044044,121804,서울특별시 마포구 공덕동 270-2 1층,서울특별시 마포구 마포대로11길 25-17 1 2층 (공덕동),서울 마포구 마포대로11길,4142,미가,U,2020.11.30 22:09,한식
1,영업/정상,영업,,121865,서울특별시 마포구 연남동 226-36번지 104호,서울특별시 마포구 연희로 43 104호 (연남동),서울 마포구 연희로,3981,미가해물탕찜,I,2018.8.31 23:59,한식
