영업상태코드,영업상태명,상세영업상태명,전화번호,소재지우편번호,지번주소,도로명주소,도로명주소_검색용,도로명우편번호,사업장명,데이터갱신구분,데이터갱신일자,업태구분명,
1,영업/정상,영업,,121822,서울특별시 마포구 망원동 404-42 1층,서울특별시 마포구 희우정로16길 53 1층 (망원동),서울 마포구 희우정로16길,4009,빠레뜨한남 망리단길점,U,2020.12.6 0:03,기타,
1,영업/정상,영업,,121865,서울특별시 마포구 연남동 229-56 1층,서울특별시 마포구 동교로 257 1층 (연남동),서울 마포구 동교로,3983,빠레뜨한남 연남점,U,2020.12.7 0:07,경양식,
1,영업/정상,영업,,121865,서울특별시 마포구 연남동 225-33,서울특별시 마포구 동교로 273 (연남동 1층 일부),서울 마포구 동교로,3980,빠레트,U,2020.12.3 22:00,호프/통닭,
1,영업/정상,영업,,121883,서울특별시 마포구 합정동 197-9번지 ,서울특별시 마포구 토정로 12-7 (합정동 1층),서울 마포구 토정로,4085,빠리쌀롱,I,2018.8.31 23:59,까페,
1,영업/정상,영업,,121865,서울특별시 마포구 연남동 228-24 피아노빌딩,서울특별시 마포구 동교로 262-4 피아노빌딩 2층 (연남동),서울 마포구 동교로,3982,빠인,U,2020.12.7 23:01,경양식,
1,영업/정상,영업,,121830,서울특별시 마포구 상암동 34-40 상암 라이크 3,서울특별시 마포구 월드컵북로 332-19 상암 라이크 3 101호 (상암동),서울 마포구 월드컵북로,3930,빨간쭈꾸미포차,U,2019.10.31 22:01,기타,
1,영업/정상,영업,,121816,서울특별시 마포구 동교동 147-69 지층일부,서울특별시 마포구 양화로23길 16-2 (동교동 지층일부),서울 마포구 양화로23길,3985,빨강꼬치빨강치킨,U,2019.10.30 22:02,기타,
1,영업/정상,영업,,121270,서울특별시 마포구 상암동 1751번지 1층일부 ,서울특별시 마포구 월드컵북로 497 (상암동 1층일부),서울 마포구 월드컵북로,3902,빱&꾹,I,2018.8.31 23:59,한식,
1,영업/정상,영업,,121865,서울특별시 마포구 연남동 224-39,서울특별시 마포구 동교로 272-7 1층 (연남동),서울 마포구 동교로,3981,빵굿피자,U,2020.12.3 23:01,기타,
1,영업/정상,영업,,121883,서울특별시 마포구 합정동 355-12,서울특별시 마포구 독막로8길 15-6 1층 (합정동),서울 마포구 독막로8길,4073,빼꼼하우스,I,2020.12.5 23:00,기타,
1,영업/정상,영업,,121812,서울특별시 마포구 도화동 25-5번지 ,서울특별시 마포구 새창로 15-1 (도화동 1층),서울 마포구 새창로,4169,빽다방 공덕역새창로점,I,2018.8.31 23:59,통닭(치킨),
1,영업/정상,영업,,121829,서울특별시 마포구 상수동 316-13,서울특별시 마포구 독막로 67-14 1층 (상수동),서울 마포구 독막로,4049,빽돈 홍대점,I,2019.11.2 0:06,기타,
1,영업/정상,영업,,121836,서울특별시 마포구 서교동 328-21,서울특별시 마포구 와우산로29길 32 1층 (서교동),서울 마포구 와우산로29길,4052,뽀빠이피자클럽 서교점,I,2019.12.8 23:02,기타,
1,영업/정상,영업,,121820,서울특별시 마포구 망원동 57-225번지 하우스테이 ,서울특별시 마포구 월드컵로19길 86 1층 (망원동),서울 마포구 월드컵로19길,4014,뿔,I,2018.8.31 23:59,한식,
1,영업/정상,영업,,121843,서울특별시 마포구 성산동 19-5번지 ,서울특별시 마포구 성미산로 24 (성산동),서울 마포구 성미산로,3997,뿔난생돼지,I,2018.8.31 23:59,통닭(치킨),
